GEOID,NAME,variable,estimate,moe
24001,"Allegany County, Maryland",B01003_001,71445,
24003,"Anne Arundel County, Maryland",B01003_001,571275,
24005,"Baltimore County, Maryland",B01003_001,828018,
24009,"Calvert County, Maryland",B01003_001,91511,
24011,"Caroline County, Maryland",B01003_001,33049,
24013,"Carroll County, Maryland",B01003_001,167699,
24015,"Cecil County, Maryland",B01003_001,102552,
24017,"Charles County, Maryland",B01003_001,159428,
24019,"Dorchester County, Maryland",B01003_001,32138,
24021,"Frederick County, Maryland",B01003_001,251422,
24023,"Garrett County, Maryland",B01003_001,29235,
24025,"Harford County, Maryland",B01003_001,252222,
24027,"Howard County, Maryland",B01003_001,318855,
24029,"Kent County, Maryland",B01003_001,19536,
24031,"Montgomery County, Maryland",B01003_001,1043530,
24033,"Prince George's County, Maryland",B01003_001,908670,
24035,"Queen Anne's County, Maryland",B01003_001,49632,
24037,"St. Mary's County, Maryland",B01003_001,112290,
24039,"Somerset County, Maryland",B01003_001,25729,
24041,"Talbot County, Maryland",B01003_001,37167,
24043,"Washington County, Maryland",B01003_001,150109,
24045,"Wicomico County, Maryland",B01003_001,102539,
24047,"Worcester County, Maryland",B01003_001,51765,
24510,"Baltimore city, Maryland",B01003_001,609032,
